source,metric,sector,vendor_pair,quissly_mean,other_mean,observed_diff,ci_low,ci_high,p_raw,p_holm_236,significant_236,n_queries,n_replicates,seed
original_grid,recall_at_10,pharmacy,quissly_vs_clerk,0.439957,0.218648,0.221310,0.149138,0.292729,0.000000,0.000000,True,139,10000,42
original_grid,recall_at_10,pooled,quissly_vs_clerk,0.428637,0.259873,0.168764,0.148945,0.188884,0.000000,0.000000,True,1059,10000,42
original_grid,recall_at_10,auto,quissly_vs_doofinder,0.371534,0.263667,0.107867,0.070486,0.146336,0.000000,0.000000,True,174,10000,42
original_grid,recall_at_10,cosmetics,quissly_vs_doofinder,0.364963,0.279102,0.085861,0.054951,0.120477,0.000000,0.000000,True,169,10000,42
original_grid,recall_at_10,electronics,quissly_vs_doofinder,0.458270,0.280729,0.177540,0.133552,0.222964,0.000000,0.000000,True,167,10000,42
original_grid,recall_at_10,fast_fashion,quissly_vs_doofinder,0.381808,0.202951,0.178857,0.119373,0.240076,0.000000,0.000000,True,145,10000,42
original_grid,recall_at_10,furniture,quissly_vs_doofinder,0.471854,0.330619,0.141235,0.102689,0.181610,0.000000,0.000000,True,162,10000,42
original_grid,recall_at_10,marketplace,quissly_vs_doofinder,0.564211,0.465596,0.098615,0.026784,0.171388,0.005200,0.041600,True,103,10000,42
original_grid,recall_at_10,pharmacy,quissly_vs_doofinder,0.439957,0.196768,0.243189,0.178027,0.308320,0.000000,0.000000,True,139,10000,42
original_grid,recall_at_10,pooled,quissly_vs_doofinder,0.428637,0.281609,0.147029,0.128775,0.166067,0.000000,0.000000,True,1059,10000,42
original_grid,recall_at_10,auto,quissly_vs_luigisbox,0.371534,0.236360,0.135174,0.098437,0.174912,0.000000,0.000000,True,174,10000,42
original_grid,recall_at_10,cosmetics,quissly_vs_luigisbox,0.364963,0.266435,0.098528,0.062868,0.135891,0.000000,0.000000,True,169,10000,42
original_grid,recall_at_10,electronics,quissly_vs_luigisbox,0.458270,0.272020,0.186249,0.139240,0.234907,0.000000,0.000000,True,167,10000,42
original_grid,recall_at_10,fast_fashion,quissly_vs_luigisbox,0.381808,0.192385,0.189423,0.123867,0.253842,0.000000,0.000000,True,145,10000,42
original_grid,recall_at_10,furniture,quissly_vs_luigisbox,0.471854,0.308439,0.163416,0.117993,0.210913,0.000000,0.000000,True,162,10000,42
original_grid,recall_at_10,marketplace,quissly_vs_luigisbox,0.564211,0.329050,0.235161,0.162783,0.310969,0.000000,0.000000,True,103,10000,42
original_grid,recall_at_10,pharmacy,quissly_vs_luigisbox,0.439957,0.231644,0.208314,0.135970,0.278822,0.000000,0.000000,True,139,10000,42
original_grid,recall_at_10,pooled,quissly_vs_luigisbox,0.428637,0.260184,0.168453,0.148200,0.188553,0.000000,0.000000,True,1059,10000,42
original_grid,recall_at_20,auto,quissly_vs_algolia,0.596165,0.332139,0.264026,0.212112,0.317530,0.000000,0.000000,True,174,10000,42
original_grid,recall_at_20,cosmetics,quissly_vs_algolia,0.612296,0.337457,0.274839,0.220340,0.331481,0.000000,0.000000,True,169,10000,42
original_grid,recall_at_20,electronics,quissly_vs_algolia,0.677200,0.351032,0.326168,0.268400,0.385533,0.000000,0.000000,True,167,10000,42
original_grid,recall_at_20,fast_fashion,quissly_vs_algolia,0.613591,0.273242,0.340350,0.257958,0.420787,0.000000,0.000000,True,145,10000,42
original_grid,recall_at_20,furniture,quissly_vs_algolia,0.722177,0.416508,0.305670,0.250431,0.362772,0.000000,0.000000,True,162,10000,42
original_grid,recall_at_20,marketplace,quissly_vs_algolia,0.744179,0.375442,0.368738,0.290446,0.451296,0.000000,0.000000,True,103,10000,42
original_grid,recall_at_20,pharmacy,quissly_vs_algolia,0.652049,0.272444,0.379604,0.299100,0.461024,0.000000,0.000000,True,139,10000,42
original_grid,recall_at_20,pooled,quissly_vs_algolia,0.654912,0.337185,0.317727,0.293274,0.342432,0.000000,0.000000,True,1059,10000,42
original_grid,recall_at_20,auto,quissly_vs_clerk,0.596165,0.388876,0.207289,0.150938,0.263852,0.000000,0.000000,True,174,10000,42
original_grid,recall_at_20,cosmetics,quissly_vs_clerk,0.612296,0.394518,0.217778,0.169019,0.268288,0.000000,0.000000,True,169,10000,42
original_grid,recall_at_20,electronics,quissly_vs_clerk,0.677200,0.384203,0.292996,0.236288,0.350729,0.000000,0.000000,True,167,10000,42
original_grid,recall_at_20,fast_fashion,quissly_vs_clerk,0.613591,0.279377,0.334214,0.254737,0.412562,0.000000,0.000000,True,145,10000,42
original_grid,recall_at_20,furniture,quissly_vs_clerk,0.722177,0.477210,0.244968,0.195538,0.296214,0.000000,0.000000,True,162,10000,42
original_grid,recall_at_20,marketplace,quissly_vs_clerk,0.744179,0.438016,0.306163,0.222126,0.395173,0.000000,0.000000,True,103,10000,42
original_grid,recall_at_20,pharmacy,quissly_vs_clerk,0.652049,0.305613,0.346436,0.253421,0.437475,0.000000,0.000000,True,139,10000,42
original_grid,recall_at_20,pooled,quissly_vs_clerk,0.654912,0.381410,0.273502,0.248971,0.298155,0.000000,0.000000,True,1059,10000,42
original_grid,recall_at_20,auto,quissly_vs_doofinder,0.596165,0.408481,0.187685,0.137825,0.239627,0.000000,0.000000,True,174,10000,42
